1,张角,黄巾军首领，在乱世广集百姓的支持，组成黄巾军。,101,2
2,丘处机,全真七子之一，号长春真人，性格固执倔强。,102,2
3,华雄,董卓手下一员猛将，因汜水关一战而出名。,103,2
4,鹿杖客,玄冥二老之一，擅长使用阴毒武功，奸诈好色。,104,2
5,岳灵珊,华山派掌门人岳不群的女儿，令狐冲的师妹，性格乖巧可爱。,105,2
6,蔡文姬,汉末才女，精通音律，曾被匈奴掳走，后被曹操救回中原。,106,2
7,王语嫣,曼陀山庄王夫人的女儿，秀雅绝俗，饱览天下武学秘笈。,107,3
8,董卓,东汉末年权臣，掌控朝中大权，为人残忍嗜杀，倒行逆施。,108,3
9,鳌拜,清初权臣，军功赫赫，被封为公爵，号称“满洲第一勇士”。,109,3
10,太史慈,吴国的将领，弓马熟练，箭法精良，为人十分重信义。,110,3
11,梅超风,东邪黄药师的弟子，与陈玄风一起盗走《九阴真经》后背叛师门。,111,3
12,袁绍,东汉末年群雄之一，出身名门望族，是雄霸一方的诸侯。,112,3
13,许褚,魏国武将，对曹操忠心耿耿，十分勇猛，有“虎痴”的绰号。,113,3
14,灭绝师太,峨嵋派第三代掌门，武功高强，出手极狠，对弟子护短。,114,3
15,李莫愁,古墓派弟子，小龙女的师姐，为情所伤后性情大变，成为一代女魔头。,115,3
16,孙策,孙坚的长子，孙权的长兄，占据江东。十分勇武，被称为“小霸王”。,116,3
17,典韦,魏国将领，身材魁梧力气过人，被曹操誉为“古之恶来”。,117,3
18,天山童姥,天山派第一代掌门，爱慕其师弟无崖子，因练武功返老还童。,118,3
19,建宁公主,康熙帝的妹妹，刁蛮任性的小公主。,119,3
20,阿珂,陈圆圆的女儿，被九难师太养大，性格孤高冷傲。,120,3
21,张辽,魏国将领，勇猛非凡，擅长马术，多次立下战功。,121,3
22,颜良,袁绍部下的武将，有威名，常常与文丑一起出场。,122,3
23,左冷禅,嵩山派掌门，五岳盟主。自称武林正道，实则极其贪慕权利。,123,3
24,周伯通,“中原五绝”之一的中神通，外号老顽童，一把年纪仍如孩童顽皮。,124,3
